,conv01-DRTAG-llm-selection.json,conv02-DRTAG-llm-selection.json,conv03-DRTAG-llm-selection.json,conv04-DRTAG-llm-selection.json,conv05-DRTAG-llm-selection.json,conv06-DRTAG-llm-selection.json,conv07-DRTAG-llm-selection.json,conv08-DRTAG-llm-selection.json,conv09-DRTAG-llm-selection.json,conv10-DRTAG-llm-selection.json,conv01-IAAG-llm-selection.json,conv02-IAAG-llm-selection.json,conv03-IAAG-llm-selection.json,conv04-IAAG-llm-selection.json,conv05-IAAG-llm-selection.json,conv06-IAAG-llm-selection.json,conv07-IAAG-llm-selection.json,conv08-IAAG-llm-selection.json,conv09-IAAG-llm-selection.json,conv10-IAAG-llm-selection.json,conv01-DRTAG-random-selection.json,conv02-DRTAG-random-selection.json,conv03-DRTAG-random-selection.json,conv04-DRTAG-random-selection.json,conv05-DRTAG-random-selection.json,conv06-DRTAG-random-selection.json,conv07-DRTAG-random-selection.json,conv08-DRTAG-random-selection.json,conv09-DRTAG-random-selection.json,conv10-DRTAG-random-selection.json,conv01-IAAG-random-selection.json,conv02-IAAG-random-selection.json,conv03-IAAG-random-selection.json,conv04-IAAG-random-selection.json,conv05-IAAG-random-selection.json,conv06-IAAG-random-selection.json,conv07-IAAG-random-selection.json,conv08-IAAG-random-selection.json,conv09-IAAG-random-selection.json,conv10-IAAG-random-selection.json,conv01-DRTAG-round-robin-selection.json,conv02-DRTAG-round-robin-selection.json,conv03-DRTAG-round-robin-selection.json,conv04-DRTAG-round-robin-selection.json,conv05-DRTAG-round-robin-selection.json,conv06-DRTAG-round-robin-selection.json,conv07-DRTAG-round-robin-selection.json,conv08-DRTAG-round-robin-selection.json,conv09-DRTAG-round-robin-selection.json,conv10-DRTAG-round-robin-selection.json,conv01-IAAG-round-robin-selection.json,conv02-IAAG-round-robin-selection.json,conv03-IAAG-round-robin-selection.json,conv04-IAAG-round-robin-selection.json,conv05-IAAG-round-robin-selection.json,conv06-IAAG-round-robin-selection.json,conv07-IAAG-round-robin-selection.json,conv08-IAAG-round-robin-selection.json,conv09-IAAG-round-robin-selection.json,conv10-IAAG-round-robin-selection.json,conv01-autogen-round-robin-selection.json,conv02-autogen-round-robin-selection.json,conv03-autogen-round-robin-selection.json,conv04-autogen-round-robin-selection.json,conv05-autogen-round-robin-selection.json,conv06-autogen-round-robin-selection.json,conv07-autogen-round-robin-selection.json,conv08-autogen-round-robin-selection.json,conv09-autogen-round-robin-selection.json,conv10-autogen-round-robin-selection.json,conv01-autogen-random-selection.json,conv02-autogen-random-selection.json,conv03-autogen-random-selection.json,conv04-autogen-random-selection.json,conv05-autogen-random-selection.json,conv06-autogen-random-selection.json,conv07-autogen-random-selection.json,conv08-autogen-random-selection.json,conv09-autogen-random-selection.json,conv10-autogen-random-selection.json,conv01-autogen-llm-selection.json,conv02-autogen-llm-selection.json,conv03-autogen-llm-selection.json,conv04-autogen-llm-selection.json,conv05-autogen-llm-selection.json,conv06-autogen-llm-selection.json,conv07-autogen-llm-selection.json,conv08-autogen-llm-selection.json,conv09-autogen-llm-selection.json,conv10-autogen-llm-selection.json
urinary tract,0.0,0.25047373861240724,0.10196647697971721,0.0,0.0,0.0,0.0,0.0,0.0,0.05886973262716303,0.04435908005364313,0.0,0.0,0.0983023875354238,0.15063144426736377,0.08204910067383667,0.0,0.0,0.0,0.0,0.061948988123479834,0.0,0.04827199197998254,0.0,0.0,0.0,0.10121723476576396,0.07600588559361855,0.0176505602455549,0.011272537494934709,0.02015867211100178,0.0,0.019645991117217817,0.047614535655527875,0.07548961964823303,0.0,0.05577484164398957,0.0,0.026415951021039073,0.05003349064452332,0.05207732683935433,0.0,0.05511146238416781,0.03563789481983073,0.0598273646839964,0.05907809210007767,0.02328257599969154,0.0,0.0,0.0,0.0,0.0,0.061574239268974394,0.10287215136199751,0.0,0.10416065607281308,0.0,0.17480484891448966,0.0,0.0,0.0,0.0,0.1776920491490745,0.08161213087809523,0.07598861112657156,0.0,0.0,0.0,0.0,0.10342133888674142,0.0,0.09947813933579162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700653382406567,0.2918675842108093,0.0,0.2108715208937975,0.0,0.22694365133403016,0.0,0.0,0.1467332232652115
musculoskeletal issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08469126352743572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386492032418135,0.0,0.0,0.02152175929825238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09552496436464769,0.0,0.0,0.0,0.06804059818416906,0.057111814565101754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05611589052727601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hernia,0.0,0.0,0.03244608079642463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08469126352743572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18432375012408342,0.0,0.0,0.06726562773125823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19104992872929538,0.0,0.0,0.4208797277595108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21971045324885427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardiovascular,0.0,0.0,0.3091661491701728,0.3136033593695663,0.09519040668708419,0.0,0.0,0.0,0.0,0.21968642217594775,0.0,0.0,0.0,0.0,0.42158782087398194,0.0,0.0,0.0,0.0,0.0,0.034676609568941925,0.0,0.06755191124625115,0.0,0.0,0.0,0.02832871559277354,0.01772712853153009,0.0,0.1735228987366014,0.0,0.0,0.0,0.0,0.0,0.0,0.1561028247631002,0.0,0.5175314023581076,0.0,0.21863131080562564,0.0,0.0,0.0,0.3767513414213054,0.0,0.358398459915267,0.06004755031115264,0.0,0.10273693761318091,0.0,0.0,0.0,0.18509074866727354,0.0,0.2915252139294255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gallbladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16721753148144633,0.0,0.0,0.0,0.0,0.0,0.0,0.03904885247363912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866597425733606,0.09019973780904299,0.0,0.047727482947226715,0.0,0.05181153618876284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3270084418126753,0.0,0.0,0.0,0.0,0.0,0.1114674838438694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39307428184442095,0.18769489600684466,0.0,0.0
obstruction,0.0,0.26439530381469983,0.11660335847354225,0.0,0.0,0.0,0.0,0.0,0.0,0.13464049636886286,0.0,0.0,0.0,0.0,0.10335239274838501,0.0,0.0,0.0,0.0,0.09960635616416139,0.0,0.14318408291457124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030937596810915253,0.0,0.0,0.013479656918604635,0.03266964751972648,0.0,0.0,0.0,0.030380891314917124,0.0,0.13731743729382276,0.0714633835314438,0.0,0.05672024390030144,0.0,0.04104920670445265,0.020267555048847797,0.09584890926132879,0.11776541344047464,0.0,0.0,0.0,0.0,0.0,0.12100015419924096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14192047201265792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11668652396067808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renal,0.0,0.0,0.2470652786169729,0.0296176879282818,0.0,0.0,0.0,0.0,0.0,0.2074787689509496,0.23450677225633998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07092371155151637,0.0,0.0,0.0,0.06379815032187496,0.0,0.0,0.0,0.0,0.016742057922047592,0.0,0.19367693682120127,0.13321244275152294,0.0,0.0,0.0,0.02494250757279852,0.1388794242986639,0.0,0.05852056123202666,0.0,0.0,0.13765485905103278,0.0,0.03641873079426177,0.023550216985178077,0.0,0.03903995718773414,0.33848278159667317,0.056710795750044236,0.0,0.097027996225918,0.06743619875929946,0.0,0.0,0.0971141813492559,0.0,0.0,0.0,0.0,0.0,0.07486548620514923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yersinia enterocolitica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278471297189428,0.0,0.0,0.0,0.0,0.0,0.05715751354146529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campylobacter jejuni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13959568951475673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ectopic pregnancy,0.0,0.20354325811928853,0.059844299171036903,0.18413302697886125,0.0,0.0,0.4898163554952492,0.0,0.0,0.09213532383876014,0.26034419706490847,0.31445370257880506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17040311290226046,0.0,0.0,0.2266473150940852,0.0,0.14860850981755763,0.0,0.0,0.0594773117721672,0.0,0.17201265830085108,0.18929854445265926,0.19482463093960004,0.2306053135804981,0.3912307300875664,0.0,0.030836168917415887,0.0,0.0,0.0,0.0,0.12225708761212252,0.0,0.14555255052083338,0.0,0.10533834697876225,0.08668258242349555,0.08198750127701873,0.0,0.0,0.02872488559962618,0.11978586614058687,0.0,0.0,0.22425312375136808,0.37648714295846814,0.0,0.07207271688533924,0.0,0.25892244360665506,0.06649119667264233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelvic inflammatory,0.0,0.0,0.022460479874270266,0.08885306378484539,0.0,0.0,0.1838355624024736,0.0,0.0,0.0778045383566061,0.058626693064084995,0.2832462703112435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19139445096562485,0.0,0.055775044409208586,0.0,0.02675453029337801,0.06696823168819037,0.0,0.029796451818646347,0.10656995420121836,0.07312066082894023,0.0908771826245293,0.06292923036027445,0.0,0.0,0.0,0.0,0.0,0.0,0.06882742952551639,0.0,0.03641873079426177,0.023550216985178077,0.0,0.0,0.06154232392666785,0.0,0.0,0.0,0.0,0.0,0.0,0.03884567253970236,0.03260801014969929,0.0,0.0,0.11551445849452269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
