,GPT-4o-backup1/autogen-llm-selection.json,GPT-4o-backup2/autogen-llm-selection.json,GPT-4o-backup3/autogen-llm-selection.json,GPT-4o-backup1/DRTAG-llm-selection.json,GPT-4o-backup2/DRTAG-llm-selection.json,GPT-4o-backup3/DRTAG-llm-selection.json,GPT-4o-backup1/IAAG-llm-selection.json,GPT-4o-backup2/IAAG-llm-selection.json,GPT-4o-backup3/IAAG-llm-selection.json,GPT-4o-backup1/autogen-random-selection.json,GPT-4o-backup2/autogen-random-selection.json,GPT-4o-backup3/autogen-random-selection.json,GPT-4o-backup1/DRTAG-random-selection.json,GPT-4o-backup2/DRTAG-random-selection.json,GPT-4o-backup3/DRTAG-random-selection.json,GPT-4o-backup1/IAAG-random-selection.json,GPT-4o-backup2/IAAG-random-selection.json,GPT-4o-backup3/IAAG-random-selection.json,GPT-4o-backup1/autogen-round-robin-selection.json,GPT-4o-backup2/autogen-round-robin-selection.json,GPT-4o-backup3/autogen-round-robin-selection.json,GPT-4o-backup1/DRTAG-round-robin-selection.json,GPT-4o-backup2/DRTAG-round-robin-selection.json,GPT-4o-backup3/DRTAG-round-robin-selection.json,GPT-4o-backup1/IAAG-round-robin-selection.json,GPT-4o-backup2/IAAG-round-robin-selection.json,GPT-4o-backup3/IAAG-round-robin-selection.json
breathing,0.0,0.0,0.0,0.0,0.0,0.03746319850714306,0.05198850138588439,0.0,0.0,0.0,0.0,0.0,0.2221410369267057,0.23707022879869333,0.0,0.04793317020027866,0.10389078793177932,0.0,0.0,0.0,0.0,0.0,0.18706934987145205,0.01599013687464765,0.058188776078856336,0.0,0.0
campylobacter jejuni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10667917774668302,0.0,0.0,0.0,0.0,0.0
cardiovascular,0.0,0.0,0.0,0.0,0.0,0.32667358244409134,0.0,0.0,0.0,0.0,0.0,0.0,0.037250714974660024,0.0,0.07677461681488248,0.0,0.0,0.0,0.0,0.0,0.0,0.23945418458730133,0.0,0.0,0.0,0.0,0.0
clinical examination,0.20399873476470776,0.0,0.0,0.0,0.0,0.027188155514284745,0.0,0.08915788295570222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26070263976857905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colon cancer,0.25199787278502295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crohn disease,0.25584380187113814,0.0,0.20239596755211117,0.2711518122618929,0.3156767213217468,0.01704893189818388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052088778190478385,0.0,0.0,0.0,0.13234070942562176,0.25725031011548766,0.0,0.10830728892097388,0.08513241616536862,0.1600910984806491,0.0,0.0,0.0
ct,0.22313986805433728,0.1013552168328729,0.35304829871982,0.23649109014291422,0.17131301034241525,0.1486960554215129,0.11005267948502091,0.26006276639164416,0.380880470637415,0.26938147712674293,0.24898223198332403,0.2827192201021679,0.15429840535614836,0.22583063455312763,0.0,0.16488564247304546,0.054980713431406654,0.2042917974192799,0.3077970566257128,0.149577723689966,0.2667169079816165,0.25190030252726076,0.19800035252087436,0.09308467726632297,0.24635565760588585,0.11345095702635716,0.0
deepbreathing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diet,0.10380231773525342,0.0,0.0,0.0,0.0,0.08300620767823055,0.0,0.0,0.11812105706611557,0.0,0.0,0.0,0.2768579766576103,0.17509005664352564,0.21133738103581298,0.017700707355787573,0.1863427008288104,0.3628585940516445,0.0,0.41749189517673,0.0,0.08788602682883365,0.3454037990264996,0.3070506305999551,0.12892731598511717,0.3799885749569669,0.35442190491482695
dietary,0.0,0.0,0.0,0.0,0.0,0.08300620767823055,0.07679302203901768,0.0,0.059060528533057786,0.0,0.260603805161622,0.0,0.08203199308373639,0.17509005664352564,0.0422674762071626,0.247809902981026,0.05480667671435601,0.034557961338251855,0.0,0.34790991264727505,0.0,0.2636580804865009,0.0,0.05904819819229906,0.17190308798015624,0.09499714373924173,0.25315850351059066
diverticulitis,0.0,0.0,0.0,0.12426256108441379,0.0,0.031252513840857275,0.34695838558856346,0.0,0.0,0.0,0.0,0.07427640156856048,0.0,0.09888425043811584,0.047742148044027356,0.01999338183624055,0.012381096333613254,0.009758515615080707,0.0,0.15718910184446855,0.0,0.04963470829555361,0.0780284075976989,0.1867498749354203,0.0,0.0,0.0
dizziness,0.0,0.0,0.0,0.0,0.05788341832837517,0.023446069755696297,0.0,0.0,0.0,0.0,0.14722115767786698,0.0,0.0,0.0,0.0,0.38998212805749866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4829948865035739,0.0
ectopic pregnancy,0.0,0.0,0.0,0.0,0.18940603279304807,0.05114679569455164,0.2365917633668098,0.2795420737348988,0.0,0.0,0.0,0.0,0.0,0.0,0.20835511276191354,0.17450925430252126,0.1620998318086041,0.2129393737682271,0.0,0.0,0.0,0.10830728892097388,0.0,0.130983626029622,0.10592330822131366,0.0,0.0
endocrine disorder,0.0,0.0,0.0,0.0,0.0,0.08952962283962615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18958588893399914,0.0,0.0,0.0,0.0,0.0
endometriosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19091796841284625,0.09458224838991634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
endoscopic evaluation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11455078104770774,0.0,0.0,0.23165505561605718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fasting,0.0,0.0,0.0,0.0,0.0,0.039407967994215705,0.05468730061293448,0.0,0.0,0.3569622811698801,0.0,0.0,0.0,0.0,0.18060189189976497,0.0,0.24979179622240527,0.0,0.0,0.0,0.07573530262881749,0.0,0.09839019686249305,0.03364041658424308,0.0,0.0,0.0
fever,0.0,0.27227056181591636,0.06322625293779151,0.08470481538717875,0.2235248458714371,0.09586614636604314,0.2069441915900542,0.0349303359636685,0.0,0.19297055356256473,0.06688410750091131,0.0,0.15790166534187558,0.0,0.22780738306662435,0.19080163676613354,0.01687939585467194,0.17960371911861212,0.08268353633040404,0.10714952063129658,0.24565088319047482,0.1353359778289225,0.1063776861323299,0.018185702391472786,0.16544632678721988,0.19504854643835923,0.19491980041969537
gallbladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1661333167906746,0.0,0.0,0.0,0.0,0.0,0.0,0.08635952774342671,0.0,0.04641806843691978,0.0,0.0,0.0
gastrointestinal,0.07992276291525387,0.21781644945273312,0.06322625293779151,0.338819261548715,0.07889112207227193,0.09586614636604314,0.05912691188287263,0.0,0.0,0.09648527678128237,0.0,0.10126250139355962,0.015790166534187557,0.1617730477459618,0.29289520679994563,0.08177213004262866,0.05907788549135178,0.03991193758191381,0.16536707266080808,0.16072428094694488,0.0,0.16916997228615313,0.1063776861323299,0.1636713215232551,0.09926779607233194,0.14628640982876942,0.2728877205875735
gynecological,0.2776445629948852,0.06305624613429058,0.07321412459731505,0.0,0.13703036727570134,0.024668922792118214,0.136934418615835,0.12134487735591389,0.05265725272349012,0.11172708721204164,0.0,0.11725897154396239,0.0,0.015610699042233899,0.15073953666898782,0.015781616652762284,0.20523131460433613,0.20797577681266516,0.09574508135089048,0.0,0.0,0.0391787615225878,0.0,0.1789972813627983,0.07663277465128697,0.0,0.0
heat,0.0,0.0,0.0,0.0,0.0,0.02512873711108395,0.06974339811781004,0.0,0.0,0.0,0.0,0.0,0.0,0.2544267737400381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12547824803492968,0.0,0.0,0.0,0.0
hernia,0.0,0.0,0.0,0.0,0.0,0.02512873711108395,0.06974339811781004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15354923362976497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343216350470797,0.0,0.0,0.0
hormone level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21335835549336604,0.0,0.0,0.0,0.0,0.0
hydrated,0.09254818766496174,0.2522249845371623,0.0,0.0,0.15225596363966817,0.0,0.27386883723167,0.0,0.15797175817047035,0.0,0.15489962326155784,0.0,0.13713408192762302,0.1092748932956373,0.2637941891707287,0.17359778318038513,0.09772919743063627,0.21567858336128243,0.0,0.0,0.09481881092992343,0.0783575230451756,0.18477330550956705,0.03158775553461146,0.15326554930257394,0.22586042850765897,0.18056907555097432
hydration,0.0,0.13605454482472212,0.0,0.0,0.16425903141877182,0.22621638437312241,0.22159442328605314,0.0,0.0,0.0,0.0,0.0,0.12821901668524507,0.218937749044136,0.04065576430943724,0.017025757176513723,0.16869385398164202,0.09972066874514682,0.0,0.06692873423612454,0.051146916256392436,0.04226741118080348,0.0,0.2499051117715764,0.16534820756109783,0.03045826115413899,0.29220630258247454
ileitis,0.3770929274111843,0.0,0.0,0.1998278440026181,0.0,0.02512873711108395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12638866867129117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflammatory bowel,0.18854646370559214,0.1284631554991652,0.0,0.0,0.031018785182775753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03215155354751638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kidney stone,0.24860980839933186,0.16938636687925218,0.2622309515724047,0.4391416403325258,0.2181340086897267,0.18775789042004368,0.27588254644108956,0.0,0.0,0.10004319711930686,0.13870095363939833,0.10499658316444047,0.0,0.4193461801671476,0.20246386382598544,0.02826249972233178,0.04375457020690614,0.2827886230539626,0.25719754141479617,0.055550343904053466,0.25470932508455063,0.2806530562785226,0.0,0.2828445753273894,0.0,0.025280126707052836,0.24252902411274227
laparoscopic,0.0,0.0871575670456206,0.10119798377605559,0.0,0.04209022950956624,0.0,0.0,0.1677252442409393,0.0,0.0,0.21410526517877831,0.40519406484640397,0.0,0.04315482229959783,0.0,0.0,0.0,0.010646968688411355,0.13234070942562176,0.08575010337182921,0.06553020023750421,0.0,0.0,0.0,0.0,0.0,0.0
laparoscopy,0.0,0.0,0.0,0.1998278440026181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16075776773758188,0.01991016252315904,0.0,0.0,0.0,0.0,0.0,0.0,0.12870613142654888,0.0,0.0,0.0
manage pain,0.0,0.0,0.0,0.0,0.04864499510256329,0.13792788797975497,0.05468730061293448,0.0,0.0,0.0,0.0,0.0,0.0,0.17456382404105966,0.0,0.025210725623890765,0.046835961791700985,0.0,0.0,0.0,0.0,0.0,0.09839019686249305,0.03364041658424308,0.0,0.0,0.0
medical history,0.0,0.0,0.0,0.11919907280296317,0.0,0.029979026989966163,0.08320510518706256,0.049154981809871365,0.0,0.407330639193163,0.0,0.0,0.05555095072447405,0.0,0.045796736610023564,0.28768028233256837,0.0712595261374817,0.0,0.11635467029358632,0.07539195647940555,0.0,0.09522435649232129,0.07484888253364679,0.07677434346887085,0.0,0.0,0.0
mri,0.0,0.0,0.0,0.0,0.0,0.18756855804557038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029998625235192204,0.0,0.26355506003706736,0.0,0.11792544642801012,0.0,0.0,0.0,0.08005848502116286,0.0,0.0,0.0
musculoskeletal issue,0.0,0.0,0.0,0.0,0.0,0.0,0.09321409492956634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nausea,0.0,0.058559405876659136,0.06799287780416965,0.09109070828081194,0.1555376548775463,0.20618698317726672,0.06358448757900553,0.037563732697762246,0.0,0.20751859644587603,0.07192649788727555,0.0,0.12735439953117741,0.0,0.13998958470600228,0.0,0.09075966441377772,0.1931440368484497,0.0,0.057613759510841446,0.13208524708628516,0.1455389521830987,0.057198747974218214,0.0488918045524143,0.07116772769349629,0.07865746842284428,0.20961479695134405
nephrology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08594298658774137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurological examination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10667917774668302,0.0,0.0,0.0,0.0,0.0
obstruction,0.0,0.10628786167888012,0.0,0.0,0.2566432636768906,0.10395508828386162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1315672849425522,0.0,0.0,0.0,0.01298388164806048,0.0,0.0,0.0,0.06603987774017041,0.0,0.05324444756604819,0.0,0.0,0.0
ovarian,0.0,0.0,0.07602405475777319,0.0,0.33200892777545693,0.03842355995127307,0.42656972802714543,0.21000341239754847,0.10935643597359415,0.0,0.0,0.0,0.10442463948097601,0.34040646598929664,0.15652486255780146,0.1310984726157372,0.14207200942263729,0.18396405845748467,0.19883948206558175,0.0644189766532397,0.0,0.08136485487512563,0.06395494481925522,0.2952007338313336,0.27850868953640606,0.0,0.0
pain management,0.0,0.06547632079601115,0.0,0.10185015280880065,0.0,0.2561570663418205,0.07109495467119091,0.0,0.0,0.0,0.16084461168613046,0.0,0.1423972356558764,0.22693764399286445,0.0,0.04916192723090145,0.13192400874959176,0.03999218662119232,0.09941974103279087,0.1288379533064794,0.3938316828262833,0.20341213718781406,0.06395494481925522,0.3389341758804201,0.15914782259223204,0.0,0.09374962387893648
pain medication,0.0,0.333524252395495,0.0,0.0,0.1207994280317476,0.016310208218946614,0.0,0.3209155474936007,0.0,0.0,0.0,0.0,0.0,0.04128494040339615,0.0,0.0,0.05169203609242319,0.0,0.0,0.08203458428616957,0.06269080179837028,0.0,0.08144366122942226,0.027846256835249404,0.0,0.2986616520245802,0.059692902786174076
pain relief,0.0,0.0,0.0,0.0,0.1387331446402277,0.07492639701428612,0.0,0.0,0.0,0.0,0.0,0.0,0.027767629615838212,0.0,0.05722975049106472,0.0,0.07420770566555666,0.0,0.0,0.0,0.07199779183738678,0.05949841152584411,0.0,0.0319802737492953,0.058188776078856336,0.0,0.0
pelvic exam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12925136490577457,0.0,0.0,0.0,0.0,0.17271905548685343,0.0,0.02320903421845989,0.0,0.0,0.0
pelvic inflammatory,0.0,0.0,0.0,0.0,0.0,0.01873159925357153,0.05198850138588439,0.24570548494113026,0.0,0.0,0.0,0.0,0.0,0.0,0.17168925147319417,0.09586634040055732,0.05936616453244533,0.08188449948030065,0.0,0.0,0.0,0.05949841152584411,0.0,0.0319802737492953,0.0,0.0,0.0
physical examination,0.0,0.0871575670456206,0.10119798377605559,0.0,0.0,0.06819572759273552,0.0,0.055908414746979766,0.36391938277705177,0.3088626961318548,0.0,0.0,0.0,0.0,0.0,0.0,0.054033277269534705,0.0,0.13234070942562176,0.0,0.0,0.0,0.08513241616536862,0.014553736225513555,0.0,0.0,0.18718956019657493
probiotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pysical exam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relax,0.0,0.0,0.0,0.0,0.0,0.027188155514284745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10322934247843762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02320903421845989,0.0,0.0,0.0
relaxation,0.0,0.0,0.0,0.0,0.0,0.07881593598843141,0.0,0.0,0.0,0.0,0.0,0.0,0.1752545275546955,0.02493768914872281,0.0,0.3277394331105799,0.03122397452780066,0.0,0.0,0.0,0.0,0.0,0.1967803937249861,0.11774145804485077,0.18362832193046189,0.0,0.0
renal,0.0,0.0,0.0,0.0,0.0,0.22870119422449556,0.23081720586286025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06352179207151953,0.13300778199558297,0.0,0.0,0.0,0.0,0.0,0.13207975548034082,0.0,0.035496298377365454,0.06458625633103919,0.0,0.0
rest,0.0,0.13605454482472212,0.07898594514819399,0.0,0.032851806283754365,0.013306846139595435,0.0738648077620177,0.0,0.0,0.12053506930029506,0.33422220681341064,0.4427607051106704,0.0,0.1010481918665243,0.16262305723774895,0.0,0.010543365873852626,0.008310055728762233,0.0,0.06692873423612454,0.0,0.12680223354241046,0.0,0.0,0.2480223113416468,0.03045826115413899,0.14610315129123727
stool test,0.0,0.0,0.0,0.1998278440026181,0.0,0.02512873711108395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19505942754132594,0.12638866867129117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strenuous activity,0.0,0.0,0.0,0.0,0.0,0.0,0.04526806660318087,0.0,0.0,0.14773989699355933,0.20482816616861768,0.0,0.0,0.020642470201698074,0.04983179141255929,0.2295532734752629,0.10338407218484638,0.0,0.0,0.08203458428616957,0.0,0.05180718781916391,0.08144366122942226,0.0,0.1520005378618457,0.11199811950921759,0.0
stress,0.0,0.0871575670456206,0.0,0.0,0.0,0.2727829103709421,0.04731835267336196,0.0,0.0,0.0,0.0,0.0,0.2274592670370843,0.28050634494738586,0.10417755638095677,0.1526955975147061,0.10806655453906941,0.0958227181957022,0.0,0.0,0.0,0.0,0.0,0.08732241735308133,0.15888496233197047,0.0,0.0
surgery,0.22313986805433728,0.2533880420821822,0.11768276623994,0.15766072676194282,0.012236643595886804,0.09913070361434194,0.22010535897004183,0.16253922899477757,0.42320052293046106,0.26938147712674293,0.49796446396664806,0.23559935008513988,0.2792066382635065,0.08782302454843852,0.12114770035496614,0.0,0.3298842805884399,0.07428792633428362,0.3077970566257128,0.3988739298399093,0.15240966170378087,0.12595015126363038,0.4950008813021859,0.18616935453264594,0.09238337160220719,0.0,0.18140171402294095
symptom diary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44166347303360093,0.0,0.3823197097701429,0.0,0.0,0.0,0.0,0.27819700781690443,0.0,0.0,0.0,0.07447329446374325,0.0,0.0,0.0,0.1073321970007942,0.0
ultrasound,0.20774435516656087,0.14154333567086774,0.3286897666460046,0.22017441102193827,0.18227804150974938,0.20304061938415674,0.1793043102665135,0.27238473205255026,0.3940018451607716,0.2507955290440672,0.17385279583491264,0.17547535718423798,0.1641744026339875,0.18688841999980377,0.05639456344041918,0.20074302761067955,0.12431207404061433,0.2593591435644743,0.2865606294761418,0.13925762359816005,0.3547354308295941,0.2638355246306756,0.18433933799398092,0.10241909276721577,0.2580281703439,0.10562341958869712,0.2026631050796962
urinalysis,0.13394727507052412,0.0,0.0,0.14196179902457964,0.2864729558139037,0.16066773230624512,0.09909428104285682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02284112309684295,0.0,0.2675630865039504,0.0,0.0,0.4803176144749742,0.05670438804903099,0.0,0.060956983761040084,0.0,0.0,0.0
urinary tract,0.0,0.1532588123669367,0.2669214504231525,0.0,0.24053872908604945,0.0899370809698985,0.04160255259353128,0.0,0.0,0.0,0.09412125583322026,0.0,0.05555095072447405,0.0,0.045796736610023564,0.01917868548883789,0.0,0.018721745360787655,0.0,0.0,0.17284352356882504,0.047612178246160645,0.0,0.0511828956459139,0.0,0.0,0.05485935923421692
urine,0.0,0.09126286055909645,0.0,0.0,0.24240019338099544,0.10711182153749675,0.09909428104285682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5454226250031834,0.0,0.08486752698855286,0.2341177006909566,0.0,0.0,0.0,0.05670438804903099,0.0,0.0761962297013001,0.0,0.44947838362624115,0.0
vomiting,0.0,0.34013636206180525,0.07898594514819399,0.10581822567505925,0.19711083770252621,0.1862958459543361,0.03693240388100885,0.0,0.0,0.12053506930029506,0.08355555170335266,0.0,0.0,0.0,0.16262305723774895,0.23836060047119212,0.010543365873852626,0.0,0.0,0.0,0.10229383251278487,0.04226741118080348,0.0,0.03407796978703315,0.04133705189027446,0.24366608923311192,0.14610315129123727
water,0.0,0.0,0.0,0.0,0.022036381216454133,0.0,0.0,0.0,0.0,0.0,0.22419004595150677,0.0,0.0,0.13556249893664316,0.10908452500063667,0.0,0.04243376349427643,0.0111484619376646,0.0,0.0,0.06861680206785345,0.0,0.08914232107342188,0.015239245940260021,0.0,0.16344668495499678,0.0
yersinia enterocolitica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10667917774668302,0.0,0.0,0.0,0.0,0.0
