,autogen-auto-selection,autogen-random-selection,autogen-round-robin-selection,DRTAG-llm-selection,DRTAG-random-selection,DRTAG-round-robin-selection,IAAG-llm-selection,IAAG-random-selection,IAAG-round-robin-selection
hydration,0.05777161383309245,0.0,0.08340212850045055,0.0,0.1888479252728813,0.060551371364943464,0.0793469577959577,0.1451163321422137,0.16322588699628265
ileitis,0.09051039678443151,0.0,0.04355518360655454,0.03492594904414072,0.0,0.0,0.0,0.0,0.0
inflammatory bowel,0.09051039678443151,0.0,0.08711036721310908,0.0,0.0,0.0,0.0,0.00783975091036327,0.0
kidney stone,0.23616039904318503,0.2397238099076148,0.20456011498610832,0.27338713638182705,0.2058607376269375,0.18151728369596595,0.18380212214692676,0.19637314810232542,0.15251183775809626
laparoscopic,0.05220847609286661,0.14721179674163326,0.07537089139468965,0.12087653841809314,0.012641685060945117,0.03648037060126925,0.03585310738505819,0.004522148421827857,0.0
laparoscopy,0.0,0.0,0.0,0.03492594904414072,0.0,0.06324361607664568,0.0,0.04703850546217963,0.0
manage pain,0.0,0.0,0.0,0.0,0.07670619902774839,0.0,0.041437447431642016,0.03135900364145308,0.0
medical history,0.0,0.09773887739499083,0.08340212850045055,0.022292780858512676,0.041966205616195844,0.10091895227490577,0.03967347889797885,0.10508424051677544,0.0
mri,0.0,0.0,0.1001877622842598,0.0,0.0,0.0,0.0,0.17131709334230197,0.0
musculoskeletal issue,0.0,0.0,0.0,0.0,0.0,0.0,0.028212954465649066,0.0,0.0
nephrology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02135098073509352,0.0
neurological examination,0.0,0.0,0.0,0.0,0.0,0.04305982562166453,0.0,0.0,0.0
obstruction,0.032039289613246175,0.0,0.03083573139231991,0.02472649852829239,0.0387897367610016,0.02238726824383051,0.0,0.005550302701933223,0.0
ovarian,0.026104238046433303,0.1766541560899599,0.07537089139468965,0.0,0.22755033109701212,0.09120092650317313,0.40633521703065945,0.20349667898225354,0.021072570453526503
pain management,0.026104238046433303,0.0,0.12561815232448276,0.12087653841809314,0.1833044333837042,0.23712240890825012,0.023902071590038793,0.09496511685838499,0.04214514090705301
pain medication,0.10441695218573321,0.0,0.1004945218595862,0.020146089736348856,0.012641685060945117,0.03648037060126925,0.07170621477011638,0.018088593687311427,0.18965313408173853
pain relief,0.0,0.0,0.0,0.0,0.02904604395841999,0.0279395888284295,0.0,0.03463423354657634,0.032278123512767064
pelvic exam,0.0,0.0,0.0,0.0,0.0,0.07273802850564083,0.0,0.05410013473967431,0.0
pelvic inflammatory,0.0,0.0,0.0,0.0,0.02904604395841999,0.0279395888284295,0.09153060143941287,0.103902700639729,0.0
physical examination,0.05777161383309245,0.09773887739499083,0.05560141900030036,0.0,0.0,0.04036758090996231,0.01322449296599295,0.02001604581271913,0.09327193542644723
probiotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pysical exam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relax,0.0,0.0,0.0,0.0,0.04476506778711499,0.0,0.0,0.0,0.0
relaxation,0.0,0.0,0.0,0.0,0.16384025204742259,0.0,0.0,0.13525033684918578,0.0
renal,0.0,0.0,0.0,0.0,0.009682014652806664,0.055879177656859,0.0732244811515303,0.03463423354657634,0.0
rest,0.07084811971295552,0.21308783102899095,0.045457803330246294,0.036451618184243605,0.05718353822970486,0.1155109987156147,0.10811889538054516,0.008182214504263558,0.07625591887904813
stool test,0.0,0.0,0.1001877622842598,0.04016918757587283,0.0,0.0,0.0,0.0,0.0
strenuous activity,0.0,0.02944235934832665,0.02512363046489655,0.04029217947269771,0.012641685060945117,0.054720555901903875,0.011951035795019396,0.08592082001472927,0.0632177113605795
stress,0.03567971821932453,0.0,0.0,0.08260805817073437,0.2851013708896327,0.0,0.016334879755420202,0.14834279198629355,0.0
surgery,0.23616039904318503,0.21308783102899095,0.36366242664197035,0.47387103639516687,0.2801993373255538,0.4290408523722832,0.22704968029914482,0.22091979161511607,0.1715758174778583
symptom diary,0.0,0.0,0.0,0.2478241745122031,0.19006758059308848,0.04986199333895747,0.0,0.11743804365581571,0.05760469810314334
ultrasound,0.28339247885182206,0.37290370430073416,0.2500179183163546,0.23693551819758343,0.2401708605647604,0.29702828241158064,0.38922802336996254,0.32319747291841056,0.24783173635690642
urinalysis,0.03567971821932453,0.0,0.0,0.16521611634146874,0.0,0.024930996669478733,0.032669759510840404,0.1545237416523891,0.0
urinary tract,0.14442903458273113,0.0,0.0,0.11146390429256336,0.041966205616195844,0.08073516181992461,0.01322449296599295,0.015012034359539348,0.04663596771322361
urine,0.028885806916546224,0.0,0.05560141900030036,0.0,0.06994367602699307,0.020183790454981154,0.0264489859319859,0.13510830923585412,0.2564978224227299
water,0.0,0.0,0.03433940703572554,0.0,0.06911548385203217,0.04986199333895747,0.0,0.024723798664382256,0.11520939620628667
yersinia enterocolitica,0.0,0.0,0.0,0.0,0.0,0.04305982562166453,0.0,0.0,0.0
