,conv01-DRTAG-llm-selection.json,conv02-DRTAG-llm-selection.json,conv03-DRTAG-llm-selection.json,conv04-DRTAG-llm-selection.json,conv05-DRTAG-llm-selection.json,conv06-DRTAG-llm-selection.json,conv07-DRTAG-llm-selection.json,conv08-DRTAG-llm-selection.json,conv09-DRTAG-llm-selection.json,conv10-DRTAG-llm-selection.json,conv01-IAAG-llm-selection.json,conv02-IAAG-llm-selection.json,conv03-IAAG-llm-selection.json,conv04-IAAG-llm-selection.json,conv05-IAAG-llm-selection.json,conv06-IAAG-llm-selection.json,conv07-IAAG-llm-selection.json,conv08-IAAG-llm-selection.json,conv09-IAAG-llm-selection.json,conv10-IAAG-llm-selection.json,conv01-DRTAG-random-selection.json,conv02-DRTAG-random-selection.json,conv03-DRTAG-random-selection.json,conv04-DRTAG-random-selection.json,conv05-DRTAG-random-selection.json,conv06-DRTAG-random-selection.json,conv07-DRTAG-random-selection.json,conv08-DRTAG-random-selection.json,conv09-DRTAG-random-selection.json,conv10-DRTAG-random-selection.json,conv01-IAAG-random-selection.json,conv02-IAAG-random-selection.json,conv03-IAAG-random-selection.json,conv04-IAAG-random-selection.json,conv05-IAAG-random-selection.json,conv06-IAAG-random-selection.json,conv07-IAAG-random-selection.json,conv08-IAAG-random-selection.json,conv09-IAAG-random-selection.json,conv10-IAAG-random-selection.json,conv01-DRTAG-round-robin-selection.json,conv02-DRTAG-round-robin-selection.json,conv03-DRTAG-round-robin-selection.json,conv04-DRTAG-round-robin-selection.json,conv05-DRTAG-round-robin-selection.json,conv06-DRTAG-round-robin-selection.json,conv07-DRTAG-round-robin-selection.json,conv08-DRTAG-round-robin-selection.json,conv09-DRTAG-round-robin-selection.json,conv10-DRTAG-round-robin-selection.json,conv01-IAAG-round-robin-selection.json,conv02-IAAG-round-robin-selection.json,conv03-IAAG-round-robin-selection.json,conv04-IAAG-round-robin-selection.json,conv05-IAAG-round-robin-selection.json,conv06-IAAG-round-robin-selection.json,conv07-IAAG-round-robin-selection.json,conv08-IAAG-round-robin-selection.json,conv09-IAAG-round-robin-selection.json,conv10-IAAG-round-robin-selection.json,conv01-autogen-llm-selection.json,conv02-autogen-llm-selection.json,conv03-autogen-llm-selection.json,conv04-autogen-llm-selection.json,conv05-autogen-llm-selection.json,conv06-autogen-llm-selection.json,conv07-autogen-llm-selection.json,conv08-autogen-llm-selection.json,conv09-autogen-llm-selection.json,conv10-autogen-llm-selection.json,conv01-autogen-random-selection.json,conv02-autogen-random-selection.json,conv03-autogen-random-selection.json,conv04-autogen-random-selection.json,conv05-autogen-random-selection.json,conv06-autogen-random-selection.json,conv07-autogen-random-selection.json,conv08-autogen-random-selection.json,conv09-autogen-random-selection.json,conv10-autogen-random-selection.json,conv01-autogen-round-robin-selection.json,conv02-autogen-round-robin-selection.json,conv03-autogen-round-robin-selection.json,conv04-autogen-round-robin-selection.json,conv05-autogen-round-robin-selection.json,conv06-autogen-round-robin-selection.json,conv07-autogen-round-robin-selection.json,conv08-autogen-round-robin-selection.json,conv09-autogen-round-robin-selection.json,conv10-autogen-round-robin-selection.json
urinary tract,0.0,0.2330103046794608,0.09706777531755761,0.0,0.0,0.0,0.0,0.0,0.0,0.05485759303784635,0.04160893732018448,0.0,0.0,0.09041642201302974,0.14342756237448992,0.07816154744286284,0.0,0.0,0.0,0.0,0.05901430093896198,0.0,0.04632488430444529,0.0,0.0,0.0,0.08964464635689988,0.0736717551105168,0.016302419232742622,0.010441364491400432,0.01912958340681463,0.0,0.018322145793976424,0.04395932088959252,0.06971380588278607,0.0,0.049321390573977095,0.0,0.0247531322147693,0.04519518602198687,0.048052624680327484,0.0,0.05120605293225515,0.032685117920265294,0.05719027045142524,0.05380127354683041,0.022340563438115146,0.0,0.0,0.0,0.0,0.0,0.05759026559842043,0.09631237829574146,0.0,0.09629782916887919,0.0,0.1580746448088199,0.0,0.0,0.0,0.39288857414612427,0.3063181460882121,0.4820082167615067,0.42179939827227275,0.4827020115345313,0.0,0.0,0.0,0.0,0.1828806402146133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2514082068413441,0.398793303061174,0.0,0.0,0.0,0.3136968741817537,0.279008044229942,0.0,0.0,0.0
musculoskeletal issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07944063473405794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03423027871297102,0.0,0.0,0.019934866788441852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08628757415462254,0.0,0.0,0.0,0.062403096093584506,0.054594417424231344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05253758967134794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hernia,0.0,0.0,0.03208925624835318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08253201523498116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18377234812572557,0.0,0.0,0.06158219979831777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17929079767701647,0.0,0.0,0.4062722110115545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardiovascular,0.0,0.0,0.2943131036037886,0.2924623338204811,0.08918005350162898,0.0,0.0,0.0,0.0,0.20471416814466706,0.0,0.0,0.0,0.0,0.40142557066240214,0.0,0.0,0.0,0.0,0.0,0.03303388698723229,0.0,0.06482712530952557,0.0,0.0,0.0,0.025089775441270543,0.017182730808115082,0.0,0.16072830399786725,0.0,0.0,0.0,0.0,0.0,0.0,0.13804088300216005,0.0,0.48495408011857005,0.0,0.20173478477339238,0.0,0.0,0.0,0.36014474685001985,0.0,0.3438976653599614,0.057564768370068735,0.0,0.09067725632620273,0.0,0.0,0.0,0.17328820257636643,0.0,0.2695187060819998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gallbladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18377234812572557,0.0,0.0,0.0,0.0,0.0,0.0,0.04142123826172406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08964539883850824,0.09531317566896313,0.0,0.05078402637644431,0.0,0.056718923579670906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obstruction,0.0,0.2559422929700846,0.11550588477619003,0.0,0.0,0.0,0.0,0.0,0.0,0.13055568235285356,0.0,0.0,0.0,0.0,0.10240305254236759,0.0,0.0,0.0,0.0,0.09474623614316864,0.0,0.1383467071398809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029819306106175947,0.0,0.0,0.013081472119916586,0.031385659577969585,0.0,0.0,0.0,0.028370226085564658,0.0,0.12907212343991584,0.06861631569935192,0.0,0.05483941902900546,0.0,0.04083216763217572,0.01920626186017602,0.09570302333966041,0.11747747888132191,0.0,0.0,0.0,0.0,0.0,0.11788148512225721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renal,0.0,0.0,0.23519570023324943,0.0276210629608217,0.0,0.0,0.0,0.0,0.0,0.19333850118172416,0.2199679879784039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06737779328848317,0.0,0.0,0.0,0.0612247767551012,0.0,0.0,0.0,0.0,0.016227911584030478,0.0,0.17939629758045073,0.12641202359008658,0.0,0.0,0.0,0.02303412229737865,0.12954297401541504,0.0,0.05251645208694585,0.0,0.0,0.12701645185835483,0.0,0.03383795994700819,0.02159896433557172,0.0,0.03555293241961467,0.3247877749897749,0.05436597837076545,0.0,0.08563845379275355,0.06206666502050311,0.0,0.0,0.09092157253596643,0.0,0.0,0.0,0.0,0.0,0.06835705125260721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yersinia enterocolitica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11796669517604733,0.0,0.0,0.0,0.0,0.0,0.054844921681129616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
campylobacter jejuni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12880728874460984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ectopic pregnancy,0.0,0.18935189314683795,0.05696924281424772,0.17172001891792693,0.0,0.0,0.4575947168657015,0.0,0.0,0.08585603966587027,0.24420356247802455,0.2954659542210779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557675710068778,0.0,0.0,0.217505228580593,0.0,0.13701095947980138,0.0,0.0,0.057650771559181135,0.0,0.15932942012931448,0.17963496181474414,0.18249161057292307,0.2150659720386706,0.36119720520244614,0.0,0.028763145073335286,0.0,0.0,0.0,0.0,0.11280866937846988,0.0,0.13523813892725975,0.0,0.10069520167638224,0.07894014791154752,0.07867028860707036,0.0,0.0,0.025353041223256947,0.11024804726131429,0.0,0.0,0.2099533391961533,0.35036639652806756,0.0,0.06478220372440617,0.0,0.251808186549397,0.060710781017894254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pelvic inflammatory,0.0,0.0,0.02138142729393177,0.08286318888246509,0.0,0.0,0.17174228909190195,0.0,0.0,0.07250193794314656,0.05499199699460097,0.2661429293111902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18367433026530358,0.0,0.051422306561823464,0.0,0.023695573309675907,0.06491164633612191,0.0,0.02759943039699242,0.10112961887206925,0.06849188984203265,0.08475342269360889,0.05809835573648469,0.0,0.0,0.0,0.0,0.0,0.0,0.06350822592917742,0.0,0.03383795994700819,0.02159896433557172,0.0,0.0,0.05905232272541362,0.0,0.0,0.0,0.0,0.0,0.0,0.03636862901438657,0.030345660476807052,0.0,0.0,0.10445881284298442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
endocrine disorder,0.0,0.0,0.10535385334718375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02665355300579382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20861832495723323,0.0,0.0,0.0,0.0,0.0,0.0484952794365095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
