,autogen-llm-selection,autogen-random-selection,autogen-round-robin-selection,DRTAG-llm-selection,DRTAG-random-selection,DRTAG-round-robin-selection,IAAG-llm-selection,IAAG-random-selection,IAAG-round-robin-selection
ct,0.2561477243522577,0.36281773160986464,0.29782980966885375,0.2231305388928941,0.23492784329496563,0.17776104473055643,0.28132026388205295,0.22532538723900244,0.1747182500461346
deepbreathing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diet,0.025739598243144576,0.0,0.14108970514021563,0.046244941411810896,0.27965534369974304,0.2819204922703904,0.029615267804729697,0.2819612674293998,0.3268297237883249
dietary,0.0,0.09254870651586526,0.11757475428351302,0.046244941411810896,0.12651075072131232,0.09397349742346346,0.04442290170709454,0.10808515251460327,0.17827075842999543
diverticulitis,0.0,0.034136782209311975,0.05204123015508527,0.025586313726385115,0.044207765623137295,0.1512537568953439,0.13108383490336947,0.015600299680118659,0.0
dizziness,0.0,0.04725413994864595,0.0,0.03541807901468671,0.0,0.0,0.0,0.09357769006527988,0.20480103170167868
ectopic pregnancy,0.0,0.0,0.0,0.1135183542538261,0.03268930447506101,0.1153392830146739,0.18174293011000647,0.23071192988712969,0.03646705724406355
endocrine disorder,0.0,0.0,0.0,0.046103778706362106,0.0,0.034067870283018484,0.0,0.0,0.0
endometriosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09984440514826662,0.0
endoscopic evaluation,0.0,0.0,0.04688634291626595,0.0,0.0,0.0,0.0,0.02811005805277198,0.0
fasting,0.0,0.06827356441862395,0.026020615077542636,0.017057542484256744,0.022103882811568647,0.028360079417876983,0.016385479362921184,0.08320159829396619,0.0
fever,0.13971694055577694,0.08372716883304569,0.19146202050140598,0.1882663921908794,0.16264235305036082,0.06182992860193267,0.10716962433602018,0.1828111632316435,0.2419175769869556
gallbladder,0.0,0.0,0.0,0.0,0.026552542441079456,0.051101805424527726,0.0,0.0,0.0
gastrointestinal,0.13971694055577694,0.08372716883304569,0.10636778916744777,0.1324837574676559,0.13854718963549256,0.1932185268810396,0.026792406084005044,0.080777025613982,0.2150378462106272
gynecological,0.11643078379648078,0.08372716883304569,0.021273557833489554,0.07670112274443235,0.030118954268585338,0.1391173393543485,0.10716962433602018,0.20831969763605887,0.0268797307763284
heat,0.0,0.0,0.0,0.011806026338228904,0.08159331600203071,0.013085896160823129,0.022681743410775133,0.0,0.0
hernia,0.0,0.0,0.0,0.011806026338228904,0.020398329000507677,0.20937433857317006,0.022681743410775133,0.0,0.0
hormone level,0.0,0.0,0.0,0.0,0.0,0.04033533995424417,0.0,0.0,0.0
hydrated,0.11643078379648078,0.05581811255536379,0.04254711566697911,0.0697282934040294,0.17468993475779496,0.06182992860193267,0.14735823346202773,0.20831969763605887,0.2150378462106272
hydration,0.05147919648628915,0.0,0.0470299017134052,0.20810223635314903,0.17977843523554907,0.1964900400672418,0.08884580341418909,0.13628127925754324,0.16341486189416246
ileitis,0.08924609275761587,0.0,0.04076632171030486,0.02672393647990867,0.0,0.0,0.0,0.0,0.0
inflammatory bowel,0.08924609275761587,0.0,0.0,0.013361968239954334,0.0,0.0,0.0,0.008146961343812367,0.0
kidney stone,0.23286156759296156,0.13954528138840946,0.21273557833489554,0.2649675149353118,0.21685647073381442,0.2936921608591802,0.12056582737802268,0.20406827523532298,0.09407905771714939
laparoscopic,0.05696462495004977,0.23895747546518384,0.07806184523262791,0.017057542484256744,0.014735921874379098,0.0,0.04915643808876355,0.005200099893372887,0.0
laparoscopy,0.0,0.0,0.0,0.013361968239954334,0.0,0.08886308934924324,0.0,0.0488817680628742,0.0
manage pain,0.0,0.0,0.0,0.09481256313865268,0.06370628301802071,0.0350303401677831,0.02023932681702932,0.02569263160193806,0.0
medical history,0.0,0.10241034662793591,0.05204123015508527,0.025586313726385115,0.044207765623137295,0.08508023825363094,0.04915643808876355,0.1092020977608306,0.0
mri,0.0,0.0,0.036019264466251776,0.09444821070583123,0.0,0.052343584643292515,0.0,0.13676739317233214,0.0
musculoskeletal issue,0.0,0.0,0.0,0.0,0.0,0.0,0.034956560100466404,0.0,0.0
nausea,0.04657231351859231,0.08372716883304569,0.08509423133395821,0.20918488021208823,0.11445202622062428,0.07728741075241584,0.040188609126007566,0.15730262882722812,0.134398653881642
nephrology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022187645588503693,0.0
neurological examination,0.0,0.0,0.0,0.0,0.0,0.020167669977122084,0.0,0.0,0.0
obstruction,0.03518132231097625,0.0,0.0,0.15802093856442112,0.04550448787001479,0.0467071202237108,0.0,0.006423157900484515,0.0
ovarian,0.025739598243144576,0.0,0.07054485257010781,0.18497976564724358,0.23970458031406544,0.25629135660944585,0.2813450441449321,0.21147095057204984,0.10399127575083066
pain management,0.023286156759296156,0.05581811255536379,0.23400913616838506,0.14642941614846175,0.17468993475779496,0.2859634197839386,0.026792406084005044,0.08927987041545381,0.0806391923289852
pain medication,0.1029583929725783,0.0,0.0470299017134052,0.053952431647112706,0.013316921128559192,0.02562913566094458,0.08884580341418909,0.018797417828626654,0.13370306882249658
pain relief,0.0,0.0,0.028861302881126823,0.09459862854485508,0.024516978356295755,0.031456168094911065,0.0,0.02883899123589121,0.018233528622031776
pelvic exam,0.0,0.0,0.0,0.0,0.0,0.051101805424527726,0.0,0.05622011610554396,0.0
pelvic inflammatory,0.0,0.0,0.0,0.010534729237628075,0.027302692722008876,0.0350303401677831,0.1011966340851466,0.09634736850726772,0.0
physical examination,0.05147919648628915,0.06169913767724351,0.0235149508567026,0.030829960941207265,0.0,0.017086090440629722,0.08884580341418909,0.018797417828626654,0.04456768960749886
probiotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pysical exam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relax,0.0,0.0,0.0,0.013361968239954334,0.03463000375117896,0.01481051489154054,0.0,0.0,0.0
relaxation,0.0,0.0,0.0,0.0421389169505123,0.11831166846203844,0.1050910205033493,0.0,0.09634736850726772,0.06091587902521238
renal,0.0,0.0,0.0,0.1040584913993406,0.008172326118765252,0.041941557459881415,0.07269717204400258,0.02883899123589121,0.018233528622031776
rest,0.06985847027788847,0.33490867533218277,0.021273557833489554,0.020918488021208822,0.060237908537170676,0.02318622322572475,0.026792406084005044,0.00850284480147179,0.134398653881642
stool test,0.0,0.0,0.0937726858325319,0.03073585247090807,0.0,0.0,0.0,0.0,0.0
strenuous activity,0.0,0.10241034662793591,0.026020615077542636,0.0,0.014735921874379098,0.018906719611917987,0.016385479362921184,0.09880189797408484,0.09863330808038454
stress,0.028482312475024887,0.0,0.0,0.13646033987405395,0.24314271092725512,0.056720158835753966,0.016385479362921184,0.12480239744094927,0.04931665404019227
surgery,0.23286156759296156,0.44654490044291034,0.34037692533583286,0.09064678142523823,0.2951657518321363,0.278234678708697,0.30811266996605796,0.22957680963973834,0.1075189231053136
symptom diary,0.0,0.12649715207834666,0.0,0.0,0.20021974662806508,0.0116767800559277,0.0,0.12204000010920579,0.04061058601680825
ultrasound,0.2794338811115539,0.27909056277681893,0.3616504831693224,0.28588600295652056,0.25299921585611684,0.20094726795628118,0.34830127909206554,0.3358623696581357,0.268797307763284
urinalysis,0.03159174541596665,0.0,0.20202912016788777,0.2175768456531667,0.0,0.05242694682485177,0.03634858602200129,0.14419495617945607,0.0
urinary tract,0.11643078379648078,0.027909056277681896,0.06382067350046866,0.1324837574676559,0.0361427451223024,0.03864370537620792,0.013396203042002522,0.012754267202207686,0.0134398653881642
urine,0.028482312475024887,0.0,0.0,0.14498911111618232,0.0736796093718955,0.056720158835753966,0.03277095872584237,0.14040269712106793,0.180827731480705
vomiting,0.13971694055577694,0.05581811255536379,0.04254711566697911,0.1882663921908794,0.02409516341486827,0.030914964300966335,0.013396203042002522,0.06377133601103843,0.1612783846579704
water,0.0,0.06827356441862395,0.026020615077542636,0.008528771242128372,0.05894368749751639,0.018906719611917987,0.0,0.020800399573491547,0.06575553872025636
yersinia enterocolitica,0.0,0.0,0.0,0.0,0.0,0.020167669977122084,0.0,0.0,0.0
